-0.13	1.24	9.69	
-0.13	1.28	9.70	
-0.13	1.25	9.72	
0.84	-2.94	5.08	
-0.99	1.03	8.44	
-0.89	1.27	4.66	
0.00	1.00	10.02	
-0.13	1.26	9.71	
-0.05	1.16	9.65	
-0.23	1.35	9.69	
-0.34	1.86	9.87	
-0.16	1.28	9.74	
-0.12	1.25	9.73	
-0.16	1.17	9.70	
-0.13	1.24	9.73	
-0.15	1.24	9.68	
-0.16	1.21	9.66	
-0.19	1.23	9.68	
-0.13	1.24	9.72	
-0.14	1.24	9.69	
-0.13	1.26	9.71	
-0.11	1.15	9.74	
-0.16	1.25	9.71	
-0.14	1.24	9.70	
-0.13	1.26	9.71	
-0.14	1.22	9.73	
-0.15	1.18	9.69	
-0.13	1.24	9.69	
-0.18	1.39	9.59	
-0.11	1.30	9.68	
-0.23	0.64	9.71	
0.10	1.27	9.78	
-0.13	1.33	9.71	
-0.14	1.23	9.71	
34.19	12.96	15.47	
-0.08	1.27	9.73	
-0.15	1.24	9.84	
-0.17	1.24	9.88	
-0.62	1.51	9.91	
-0.29	1.41	9.91	
1.37	2.43	11.52	
-0.12	2.89	9.06	
-3.82	-2.27	8.25	
-4.04	-5.62	6.82	
-4.15	-5.20	6.82	
-4.50	-4.89	6.91	
-4.09	-4.65	7.07	
-3.63	-4.63	7.40	
-3.54	-4.83	7.89	
-2.78	-4.56	8.10	
-1.49	-2.89	8.66	
0.72	0.12	9.92	
-3.38	-7.03	-2.87	
-0.15	1.31	9.62	
1.24	2.08	5.31	
-0.34	2.02	11.63	
-1.85	-0.80	9.36	
-1.90	-7.52	7.91	
-1.80	-9.61	2.60	
11.39	1.41	-12.21	
-2.00	-5.95	-8.80	
-2.12	-4.30	-8.92	
-2.12	-1.48	-9.87	
-0.45	-1.08	-10.32	
-2.09	-2.09	-10.37	
-0.49	1.46	-10.63	
0.48	1.90	-8.73	
-0.50	5.77	-7.88	
1.91	8.50	-6.91	
2.83	8.86	-3.72	
3.45	9.21	-3.55	
3.75	9.79	-0.15	
3.42	8.14	1.73	
3.43	5.56	6.53	
4.97	1.12	8.48	
5.70	-1.70	11.87	
5.91	-4.56	2.44	
8.42	-4.19	-1.81	
8.22	-4.49	-3.75	
8.68	-5.09	-1.01	
7.52	-2.96	4.62	
6.46	-1.48	6.58	
3.50	1.99	8.70	
-2.18	3.43	8.73	
-0.88	3.22	8.17	
-0.03	2.51	8.37	
1.14	0.91	8.95	
0.69	-1.89	2.80	
0.59	1.29	9.38	
-1.29	0.06	9.42	
0.08	1.34	8.37	
-0.47	1.70	9.66	
-0.12	1.21	9.96	
-0.08	1.25	9.86	
-0.05	1.17	10.15	
-0.45	1.15	9.63	
9.25	2.68	6.46	
7.30	1.23	4.39	
9.18	1.30	3.70	
7.98	2.14	4.03	
8.89	2.25	3.63	
8.20	1.56	4.31	
9.90	2.15	6.25	
6.28	-2.02	8.42	
0.89	2.40	8.33	
3.04	3.53	9.47	
4.51	3.87	6.48	
7.66	3.60	6.66	
5.38	2.84	7.03	
4.36	0.31	9.89	
2.98	0.84	10.51	
1.70	-0.94	8.93	
1.24	-2.20	9.20	
-6.45	16.85	36.16	
-0.10	5.56	15.62	
-0.04	-3.26	8.40	
-0.64	-2.07	7.10	
0.42	-2.10	9.57	
0.68	-1.36	9.86	
1.27	-1.91	9.62	
2.34	-2.42	9.52	
1.37	-2.57	8.98	
-1.59	-2.27	9.74	
-4.46	-1.27	8.58	
-6.69	0.11	6.94	
-6.90	3.31	9.62	
-3.11	-0.91	8.63	
1.18	-0.28	8.19	
1.57	-2.34	7.89	
-4.21	-3.68	8.47	
-4.43	-2.67	8.35	
-4.74	0.57	7.06	
-3.45	4.03	9.19	
-3.92	-1.10	8.95	
-5.16	-0.92	5.95	
-3.03	0.79	8.34	
-2.53	1.41	9.14	
-2.81	3.00	9.60	
-1.84	2.83	9.99	
-1.46	-6.10	3.57	
1.00	2.82	7.97	
3.86	3.05	7.06	
3.12	1.80	9.77	
1.26	2.32	9.28	
-0.66	2.61	11.57	
16.56	22.02	1.09	
1.16	1.78	10.65	
4.85	20.90	17.11	
2.20	-0.90	6.83	
2.08	1.22	9.20	
2.33	3.25	9.51	
0.51	2.40	8.16	
0.92	3.04	10.29	
-0.57	1.90	9.58	
-0.93	2.94	9.06	
1.55	4.75	10.97	
0.42	2.68	10.32	
0.45	2.60	10.49	
0.34	1.92	10.64	
-1.24	1.64	9.11	
3.47	4.19	13.32	
5.89	0.71	3.42	
3.32	4.98	11.30	
0.31	2.14	10.28	
0.20	2.83	9.46	
-1.03	2.99	8.14	
1.26	4.19	9.53	
2.80	3.18	8.71	
2.58	1.70	8.38	
1.26	0.88	2.97	
4.83	0.82	6.88	
4.24	3.27	6.94	
-2.24	9.38	-1.66	
4.30	5.00	8.75	
5.25	4.68	9.19	
-9.28	-6.56	13.06	
-1.24	1.92	7.59	
1.25	2.16	9.43	
-1.38	0.45	9.69	
-0.79	2.63	9.72	
-0.01	-0.37	10.34	
-2.60	0.34	9.56	
-0.85	1.49	9.90	
-0.45	1.24	10.15	
-2.25	1.94	9.88	
-1.88	2.53	9.65	
-2.08	1.70	10.52	
-3.96	1.20	9.78	
-0.13	1.32	9.75	
-1.92	1.65	9.44	
-2.07	1.61	9.47	
-2.23	1.94	9.74	
-2.34	1.02	8.93	
0.11	1.15	9.34	
0.35	0.01	9.90	
-1.74	0.39	8.68	
-0.11	0.70	8.48	
1.99	6.84	9.20	
0.24	0.27	10.41	
0.22	1.24	9.49	
0.68	1.17	9.05	
-0.10	1.73	9.67	
-0.14	1.83	9.53	
0.21	1.27	10.07	
0.01	1.69	9.83	
0.12	1.95	9.38	
0.14	1.64	9.75	
0.04	1.19	9.77	
0.01	0.25	10.04	
0.40	0.24	9.63	
0.61	2.47	11.75	
2.35	-3.52	21.46	
0.91	2.39	12.62	
0.33	1.81	11.32	
0.40	2.20	10.57	
0.20	1.97	8.61	
-3.73	-4.63	12.67	
0.03	2.00	10.08	
-0.85	3.25	9.89	
-0.44	3.02	9.82	
-0.34	0.88	9.53	
-0.63	1.47	9.57	
-2.00	3.37	8.89	
-2.36	2.95	9.19	
-3.26	2.72	9.25	
-2.55	2.68	9.84	
-2.56	2.31	9.25	
-2.92	3.28	9.33	
-2.33	3.59	8.71	
-2.15	3.42	8.95	
-2.03	3.96	8.99	
-1.90	3.39	8.42	
-2.53	3.40	8.43	
-2.79	3.36	8.71	
-2.56	3.27	9.12	
-2.36	3.66	8.84	
-2.47	3.28	8.91	
-2.13	3.17	8.81	
-1.65	2.46	9.51	
-1.58	2.15	9.35	
-1.35	1.73	10.08	
-0.39	-1.77	11.52	
0.75	-2.83	8.67	
1.08	-5.36	-3.51	
0.01	-2.39	9.66	
-1.02	-0.82	7.95	
-0.64	0.51	9.95	
-1.07	0.24	10.16	
-2.02	-0.24	9.30	
-1.97	-0.34	9.95	
-1.45	-0.38	9.55	
0.12	0.33	10.56	
-0.00	-0.24	9.81	
-0.88	-1.17	10.12	
-1.49	-0.58	9.72	
-0.14	-0.41	9.07	
-2.02	-0.82	11.35	
-0.78	-0.07	9.61	
-1.82	1.35	11.88	
-1.08	3.05	8.94	
-0.47	3.71	9.36	
-0.13	3.53	9.74	
0.17	2.75	9.53	
0.14	2.23	9.07	
0.41	1.63	9.19	
-0.88	3.56	9.30	
-1.34	3.59	8.95	
-0.92	3.42	9.51	
-1.31	3.57	8.83	
-1.15	3.65	9.27	
-1.12	3.51	9.36	
-0.97	3.79	9.85	
-0.15	3.17	9.48	
-0.82	3.51	9.48	
-0.60	4.00	9.64	
-0.75	3.19	8.63	
-0.56	3.99	9.92	
-0.31	4.30	11.02	
-1.33	2.71	8.76	
-0.83	3.52	10.16	
-1.39	2.96	9.43	
-2.02	2.48	7.99	
-0.97	2.99	8.97	
-1.36	2.75	9.48	
-1.93	2.89	9.21
